,Uniprot,PDB
62,P28340,6S1M
63,P28340,6S1N
64,P28340,6S1O
65,P28340,6TNY
66,P28340,6TNZ
68,P01106,1EE4
246,O00482,3TX7
628,Q9NR97,3W3G
629,Q9NR97,3W3J
630,Q9NR97,3W3K
631,Q9NR97,3W3L
632,Q9NR97,3W3M
633,Q9NR97,3W3N
634,Q9NR97,3WN4
635,Q9NR97,4QBZ
636,Q9NR97,4QC0
637,Q9NR97,4R07
638,Q9NR97,4R08
639,Q9NR97,4R09
640,Q9NR97,4R0A
641,Q9NR97,4R6A
642,Q9NR97,5AWA
643,Q9NR97,5AWB
644,Q9NR97,5AWC
645,Q9NR97,5AWD
646,Q9NR97,5AZ5
647,Q9NR97,5HDH
648,Q9NR97,5WYX
649,Q9NR97,5WYZ
650,Q9NR97,5Z14
651,Q9NR97,5Z15
652,Q9NR97,6KYA
839,Q8IYB3,6FF7
917,Q99459,5MQF
924,Q99459,6FF7
925,Q99459,6ICZ
927,Q99459,6ID1
1378,Q13485,5UWU
1584,P26358,6K3A
1738,P09651,2H4M
1780,P68431,2C1J
1781,P68431,2C1N
1818,P68431,3B95
1923,P68431,5J3V
2238,P04637,5MHC
2239,P04637,5MOC
2261,P04637,6R5L
2264,P04637,6RKI
2265,P04637,6RKK
2266,P04637,6RKM
2270,P04637,6RM5
2272,P04637,6RWH
2273,P04637,6RWI
2274,P04637,6RWS
2275,P04637,6RWU
2278,P04637,6S39
2279,P04637,6S3C
2281,P04637,6S9Q
2288,P04637,6SIN
2289,P04637,6SIO
2290,P04637,6SIP
2291,P04637,6SIQ
2293,P04637,6SLV
2362,P04053,5W4E
2382,Q9BXP5,5OO6
2734,P39748,1U7B
2735,P39748,1UL1
2739,P39748,3UVU
2740,P39748,5E0V
2749,P39748,6TNZ
2786,Q06787,5UWJ
2787,Q06787,5UWO
2829,Q9NP87,5W4F
3303,O15162,1Y2A
3324,P12956,3RZX
3368,Q96PU4,5YCO
3687,P49736,5JA4
3725,Q9NP71,6MJL
3791,Q06330,2F8X
3792,Q06330,3NBN
3793,Q06330,3V79
3794,Q06330,6PY8
3956,P10636,4Y32
3957,P10636,4Y3B
3958,P10636,4Y5I
3984,P10636,6FBW
3985,P10636,6FI5
4077,Q16531,2HYE
4448,P54278,5U5R
4461,P54274,5HKP
4472,P54253,6QIU
4507,O60216,6QNX
5115,P62805,5JA4
5616,P49005,6S1M
5617,P49005,6S1N
5618,P49005,6S1O
5619,P49005,6TNY
5620,P49005,6TNZ
5717,P40938,6VVO
5718,P40937,6VVO
5789,Q9UGP5,5W4G
5848,P52298,1H2T
5849,P52298,1H2U
5850,P52298,1H2V
5852,P52298,1N52
5853,P52298,1N54
5854,P52298,3FEX
5855,P52298,3FEY
5856,P52298,5OO6
5895,Q9H211,6QCG
5941,P26651,4J8S
5942,Q15397,4WZR
5943,Q15397,4WZW
6067,Q04206,1NFI
6078,Q04206,6QHL
6173,O95239,6OYL
6291,P20023,3OED
6294,P03950,1A4Y
6659,O14746,4B18
6717,P35637,4FDD
6718,P35637,4FQ3
6722,P35637,5YVG
6723,P35637,5YVH
6724,P35637,5YVI
6865,P35251,6VVO
6866,P35250,6VVO
6867,P35249,6VVO
7112,Q7RTV0,6AH0
7116,Q7RTV0,6FF7
7166,P13010,3RZ9
7210,Q07666,3QHE
