From	To
P04792	2N3J
P04792	3Q9P
P04792	3Q9Q
P04792	4MJH
P04792	6DV5
P04792	6GJH
Q96Q15	6L53
Q96Q15	6L54
Q96Q15	6SYT
Q96Q15	6Z3R
Q96Q15	7PW4
Q96Q15	7PW5
Q96Q15	7PW6
Q96Q15	7PW7
Q96Q15	7PW8
Q96Q15	7PW9
Q9BSD7	2I3B
Q9BSC4	7MQ8
Q9BSC4	7MQ9
P37108	1E8O
P37108	1E8S
P37108	1RY1
P37108	4UYJ
P37108	4UYK
P37108	5AOX
P37108	7NFX
Q14451	1MW4
Q14451	1WGR
Q14451	2L4K
Q14451	2QMS
Q14451	3PQZ
Q14451	4WWQ
Q14451	4X6S
Q14451	5D0J
Q14451	5EEL
Q14451	5EEQ
Q14451	5TYI
Q14451	5U06
Q14451	5U1Q
Q14451	7MP3
Q9H3H3	1ZTP
Q9H3H3	2Q4K
P67809	1H95
P67809	5YTS
P67809	5YTT
P67809	5YTV
P67809	5YTX
P67809	6A6L
P67809	6KTC
P67809	6KUG
P67809	6LMR
P67809	6LMS
Q9NP64	2CQO
P62280	4UG0
P62280	4V6X
P62280	5A2Q
P62280	5AJ0
P62280	5FLX
P62280	5LKS
P62280	5OA3
P62280	5T2C
P62280	5VYC
P62280	6FEC
P62280	6G18
P62280	6G4S
P62280	6G4W
P62280	6G51
P62280	6G53
P62280	6G5H
P62280	6G5I
P62280	6IP5
P62280	6IP6
P62280	6IP8
P62280	6OLE
P62280	6OLF
P62280	6OLG
P62280	6OLI
P62280	6OLZ
P62280	6OM0
P62280	6OM7
P62280	6QZP
P62280	6XA1
P62280	6Y0G
P62280	6Y2L
P62280	6Y57
P62280	6YBW
P62280	6Z6L
P62280	6Z6M
P62280	6Z6N
P62280	6ZLW
P62280	6ZM7
P62280	6ZME
P62280	6ZMI
P62280	6ZMO
P62280	6ZMT
P62280	6ZMW
P62280	6ZN5
P62280	6ZOJ
P62280	6ZOK
P62280	6ZON
P62280	6ZP4
P62280	6ZUO
P62280	6ZV6
P62280	6ZVH
P62280	6ZVJ
P62280	6ZXD
P62280	6ZXE
P62280	6ZXF
P62280	6ZXG
P62280	6ZXH
P62280	7A09
P62280	7K5I
P62280	7MQ8
P62280	7MQ9
P62280	7MQA
P62277	4UG0
P62277	4V6X
P62277	5A2Q
P62277	5AJ0
P62277	5FLX
P62277	5LKS
P62277	5OA3
P62277	5T2C
P62277	5VYC
P62277	6FEC
P62277	6G18
P62277	6G4S
P62277	6G4W
P62277	6G51
P62277	6G53
P62277	6G5H
P62277	6G5I
P62277	6IP5
P62277	6IP6
P62277	6IP8
P62277	6OLE
P62277	6OLF
P62277	6OLG
P62277	6OLI
P62277	6OLZ
P62277	6OM0
P62277	6OM7
P62277	6QZP
P62277	6XA1
P62277	6Y0G
P62277	6Y2L
P62277	6Y57
P62277	6YBD
P62277	6YBW
P62277	6Z6L
P62277	6Z6M
P62277	6Z6N
P62277	6ZLW
P62277	6ZM7
P62277	6ZME
P62277	6ZMI
P62277	6ZMO
P62277	6ZMT
P62277	6ZMW
P62277	6ZN5
P62277	6ZOJ
P62277	6ZOK
P62277	6ZON
P62277	6ZP4
P62277	6ZUO
P62277	6ZV6
P62277	6ZVH
P62277	6ZVJ
P62277	6ZXD
P62277	6ZXE
P62277	6ZXF
P62277	6ZXG
P62277	6ZXH
P62277	7A09
P62277	7JQB
P62277	7JQC
P62277	7K5I
P62277	7MQ8
P62277	7MQ9
P62277	7MQA
P62269	4UG0
P62269	4V6X
P62269	5A2Q
P62269	5AJ0
P62269	5FLX
P62269	5LKS
P62269	5OA3
P62269	5T2C
P62269	5VYC
P62269	6FEC
P62269	6G18
P62269	6G4S
P62269	6G4W
P62269	6G51
P62269	6G53
P62269	6G5H
P62269	6G5I
P62269	6IP5
P62269	6IP6
