,Uniprot,PDB
628,Q9NR97,3W3G
629,Q9NR97,3W3J
630,Q9NR97,3W3K
631,Q9NR97,3W3L
632,Q9NR97,3W3M
633,Q9NR97,3W3N
634,Q9NR97,3WN4
635,Q9NR97,4QBZ
636,Q9NR97,4QC0
637,Q9NR97,4R07
638,Q9NR97,4R08
639,Q9NR97,4R09
640,Q9NR97,4R0A
641,Q9NR97,4R6A
642,Q9NR97,5AWA
643,Q9NR97,5AWB
644,Q9NR97,5AWC
645,Q9NR97,5AWD
646,Q9NR97,5AZ5
647,Q9NR97,5HDH
648,Q9NR97,5WYX
649,Q9NR97,5WYZ
650,Q9NR97,5Z14
651,Q9NR97,5Z15
652,Q9NR97,6KYA
839,Q8IYB3,6FF7
917,Q99459,5MQF
924,Q99459,6FF7
925,Q99459,6ICZ
927,Q99459,6ID1
1378,Q13485,5UWU
1584,P26358,6K3A
1738,P09651,2H4M
1780,P68431,2C1J
1781,P68431,2C1N
1923,P68431,5J3V
2382,Q9BXP5,5OO6
2786,Q06787,5UWJ
2787,Q06787,5UWO
3324,P12956,3RZX
3687,P49736,5JA4
3956,P10636,4Y32
3957,P10636,4Y3B
3958,P10636,4Y5I
3984,P10636,6FBW
3985,P10636,6FI5
5115,P62805,5JA4
5848,P52298,1H2T
5849,P52298,1H2U
5850,P52298,1H2V
5852,P52298,1N52
5853,P52298,1N54
5854,P52298,3FEX
5855,P52298,3FEY
5856,P52298,5OO6
5941,P26651,4J8S
5942,Q15397,4WZR
5943,Q15397,4WZW
6659,O14746,4B18
6717,P35637,4FDD
6718,P35637,4FQ3
6722,P35637,5YVG
6723,P35637,5YVH
6724,P35637,5YVI
7112,Q7RTV0,6AH0
7116,Q7RTV0,6FF7
7166,P13010,3RZ9
7210,Q07666,3QHE
1124,Q9UQ35,5MQF
1130,Q9UQ35,6FF7
1131,Q9UQ35,6ICZ
1138,O94906,6AH0
1202,P63104,2C1J
1203,P63104,2C1N
1833,Q92973,2H4M
1841,Q92973,4FDD
1842,Q92973,4FQ3
1845,Q92973,5J3V
1847,Q92973,5YVG
1848,Q92973,5YVH
1849,Q92973,5YVI
2132,Q8WWY3,6AH0
2278,Q13435,6AH0
2281,Q13435,6FF7
2506,Q8TAD8,6FF7
2511,Q9BZJ0,5MQF
2518,Q9BZJ0,6FF7
2519,Q9BZJ0,6ICZ
2521,Q9BZJ0,6ID1
3018,Q9BUQ8,6AH0
3071,Q9HCG8,5MQF
3077,Q9HCG8,6FF7
3078,Q9HCG8,6ICZ
3395,P09661,5MQF
3402,P09661,6AH0
3404,P09661,6FF7
3405,P09661,6ICZ
3407,P09661,6ID1
3471,P14678,5MQF
3478,P14678,6AH0
3479,P14678,6FF7
3480,P14678,6ICZ
3482,P14678,6ID1
3890,Q15029,5MQF
3897,Q15029,6AH0
3900,Q15029,6FF7
3901,Q15029,6ICZ
3903,Q15029,6ID1
4863,Q9P013,5MQF
4870,Q9P013,6FF7
4871,Q9P013,6ICZ
4873,Q9P013,6ID1
4897,O60306,5MQF
4902,O60306,6FF7
4903,O60306,6ICZ
4905,O60306,6ID1
5101,O15234,6ICZ
5326,Q9BRD0,6FF7
5375,O43143,6ID1
5386,Q9UNP9,5MQF
5390,Q9UNP9,6FF7
5391,Q9UNP9,6ICZ
5393,Q9UNP9,6ID1
5421,O60231,6FF7
5498,O60508,5MQF
5504,O60508,6FF7
5505,O60508,6ICZ
5507,O60508,6ID1
5610,Q9NW64,5MQF
5616,Q9NW64,6FF7
5617,Q9NW64,6ICZ
5619,Q9NW64,6ID1
6316,P52292,3FEX
6317,P52292,3FEY
6967,O95926,5MQF
6970,O95926,6ICZ
6972,O95926,6ID1
7231,O75643,6AH0
7233,O75643,6FF7
7234,O75643,6ICZ
7277,Q9ULR0,6FF7
7557,Q9Y3B4,6AH0
