,Uniprot,PDB
62,P28340,6S1M
63,P28340,6S1N
64,P28340,6S1O
65,P28340,6TNY
66,P28340,6TNZ
68,P01106,1EE4
246,O00482,3TX7
1818,P68431,3B95
2238,P04637,5MHC
2239,P04637,5MOC
2261,P04637,6R5L
2264,P04637,6RKI
2265,P04637,6RKK
2266,P04637,6RKM
2270,P04637,6RM5
2272,P04637,6RWH
2273,P04637,6RWI
2274,P04637,6RWS
2275,P04637,6RWU
2278,P04637,6S39
2279,P04637,6S3C
2281,P04637,6S9Q
2288,P04637,6SIN
2289,P04637,6SIO
2290,P04637,6SIP
2291,P04637,6SIQ
2293,P04637,6SLV
2362,P04053,5W4E
2734,P39748,1U7B
2735,P39748,1UL1
2739,P39748,3UVU
2740,P39748,5E0V
2749,P39748,6TNZ
2829,Q9NP87,5W4F
3303,O15162,1Y2A
3368,Q96PU4,5YCO
3725,Q9NP71,6MJL
3791,Q06330,2F8X
3792,Q06330,3NBN
3793,Q06330,3V79
3794,Q06330,6PY8
4077,Q16531,2HYE
4448,P54278,5U5R
4461,P54274,5HKP
4472,P54253,6QIU
4507,O60216,6QNX
5616,P49005,6S1M
5617,P49005,6S1N
5618,P49005,6S1O
5619,P49005,6TNY
5620,P49005,6TNZ
5717,P40938,6VVO
5718,P40937,6VVO
5789,Q9UGP5,5W4G
5895,Q9H211,6QCG
6067,Q04206,1NFI
6078,Q04206,6QHL
6173,O95239,6OYL
6291,P20023,3OED
6294,P03950,1A4Y
6865,P35251,6VVO
6866,P35250,6VVO
6867,P35249,6VVO
