,Uniprot,PDB
1200,P63104,1QJA
1201,P63104,1QJB
1204,P63104,2O02
1208,P63104,3RDH
1212,P63104,4IHL
1213,P63104,4N7G
1214,P63104,4N7Y
1216,P63104,4WRQ
1217,P63104,4ZDR
1218,P63104,5D2D
1219,P63104,5D3F
1222,P63104,5J31
1227,P63104,5NAS
1228,P63104,5ULO
1229,P63104,5WXN
1230,P63104,5XY9
1231,P63104,6EF5
1232,P63104,6EJL
1233,P63104,6EWW
1234,P63104,6F08
1237,P63104,6FNA
1238,P63104,6FNB
1239,P63104,6FNC
1242,P63104,6U2H
1302,P62979,3TBL
1502,Q10589,4P6Z
1503,Q10589,6CM9
1504,Q10589,6CRI
1505,Q10589,6D83
1506,Q10589,6D84
1507,Q10589,6DFF
1520,Q05823,1WDY
1521,Q05823,4G8K
1522,Q05823,4G8L
1523,Q05823,4OAU
1524,Q05823,4OAV
1693,P31948,1ELR
1694,P31948,1ELW
1695,P31948,2LNI
1696,P31948,2NC9
1697,P31948,3ESK
1698,P31948,3FWV
1832,Q92973,1QBK
1834,Q92973,2OT8
1835,Q92973,2QMR
1836,Q92973,2Z5J
1837,Q92973,2Z5K
1838,Q92973,2Z5M
1839,Q92973,2Z5N
1840,Q92973,2Z5O
1843,Q92973,4JLQ
1844,Q92973,4OO6
1846,Q92973,5TQC
1862,P63279,2XWU
1879,Q53EL6,2GGF
1880,Q53EL6,2KZT
1881,Q53EL6,2RG8
1882,Q53EL6,2ZU6
1883,Q53EL6,3EIJ
2495,P26196,4CRW
2496,P26196,4CT4
3248,Q13325,3ZGQ
3249,Q13325,4HOQ
3250,Q13325,4HOR
3251,Q13325,4HOS
3252,Q13325,4HOT
3253,Q13325,4J0U
3394,P09661,1A9N
3486,P14678,6V4X
3500,P33316,4MZ5
3501,P33316,4MZ6
3503,P09960,1GW6
3504,P09960,1H19
3505,P09960,1HS6
3506,P09960,1SQM
3507,P09960,2R59
3508,P09960,2VJ8
3509,P09960,3B7R
3510,P09960,3B7S
3511,P09960,3B7T
3512,P09960,3B7U
3513,P09960,3CHO
3514,P09960,3CHP
3515,P09960,3CHQ
3516,P09960,3CHR
3517,P09960,3CHS
3518,P09960,3FH5
3519,P09960,3FH7
3520,P09960,3FH8
3521,P09960,3FHE
3522,P09960,3FTS
3523,P09960,3FTU
3524,P09960,3FTV
3525,P09960,3FTW
3526,P09960,3FTX
3527,P09960,3FTY
3528,P09960,3FTZ
3529,P09960,3FU0
3530,P09960,3FU3
3531,P09960,3FU5
3532,P09960,3FU6
3533,P09960,3FUD
3534,P09960,3FUE
3535,P09960,3FUF
3536,P09960,3FUH
3537,P09960,3FUI
3538,P09960,3FUJ
3539,P09960,3FUK
3540,P09960,3FUL
3541,P09960,3FUM
3542,P09960,3FUN
3543,P09960,3U9W
3544,P09960,4DPR
3545,P09960,4L2L
3546,P09960,4MKT
3547,P09960,4MS6
3548,P09960,4R7L
3549,P09960,4RSY
3550,P09960,4RVB
3551,P09960,5AEN
3552,P09960,5BPP
3553,P09960,5FWQ
3554,P09960,5N3W
3555,P09960,5NI2
3556,P09960,5NI4
3557,P09960,5NI6
3558,P09960,5NIA
3559,P09960,5NID
3560,P09960,5NIE
3561,P09960,6ENB
3562,P09960,6ENC
3563,P09960,6END
3564,P09960,6O5H
3630,P09913,4G1T
